product_title,product_price,review_title,review_rating,review_verified_buyer,review_content
"Casti Over the Ear Sony WH-1000XM5B, Wireless, Bluetooth, Noise cancelling, Autonomie baterie 30 ore, Microfon, Alexa si Google Assistant, Negru",1799.99,Foarte multumit,5,True,"Este. Un cadou oferit fiului meu de care este foarte mulțumit. Mi-a spus ca ii plac mai mult față de cele de la Apple Airpods Max și chiar cele de la Dr Free, pe care le-a avut."
"Casti Over the Ear Sony WH-1000XM5B, Wireless, Bluetooth, Noise cancelling, Autonomie baterie 30 ore, Microfon, Alexa si Google Assistant, Negru",1799.99,Excelent,5,False,Sunt foarte bune da la mine după 2 săptămâni a picat casca dreapta și nu se mai auzea nimic
"Casti Over the Ear Sony WH-1000XM5B, Wireless, Bluetooth, Noise cancelling, Autonomie baterie 30 ore, Microfon, Alexa si Google Assistant, Negru",1799.99,Nu recomand,1,True,"Vopseaua mată de pe casti a inceput sa se ia. Le am de 5 luni si am avut grija de ele, in rest se aud ok. Emag nu le repara la garantie spunand ca le am curatat eu cu ce nu trebuie"
"Casti Over the Ear Sony WH-1000XM5B, Wireless, Bluetooth, Noise cancelling, Autonomie baterie 30 ore, Microfon, Alexa si Google Assistant, Negru",1799.99,Foarte multumita,5,True,"Sunt foarte incantata de casti, sunt exact ce trebuie!<br /> Si livrarea a fost rapida"
"Casti Over the Ear Sony WH-1000XM5B, Wireless, Bluetooth, Noise cancelling, Autonomie baterie 30 ore, Microfon, Alexa si Google Assistant, Negru",1799.99,Excelent,5,False,"Peste asteptari din toate punctele de vedere. Funcția de reducere a zgomotului funcționează mult mai bine decât ma așteptam su diferența dintre Sony și alte mărci se simte. Calitatea audio e foarte bună, iar dacă te joci puțin la EQ și mărești frecventele înalte e și mai bine. Am testat și SENNHEISER Momentum 4, iar diferențele sunt foarte clare, in favoarea Sony. Cu siguranță merita diferența de preț. Recomand din toată inima."
"Casti Over the Ear Sony WH-1000XM5B, Wireless, Bluetooth, Noise cancelling, Autonomie baterie 30 ore, Microfon, Alexa si Google Assistant, Negru",1799.99,"Super faine căștile, NU pentru gaming!",4,True,"Se aud foarte bine, build quality superior iar noise cancelling chiar depășește orice așteptări.<br /> <br /> Dacă cumpărați căștile doar pentru audio experience, atunci e o alegere foarte bună. Atenție în schimb pentru cei ce vor să le folosească și în gaming! Nu suportă stereo audio + microfon. Prin urmare n-ai cum să ai un sunet decent și microfon în același timp, nici măcar pe cablu.<br /> <br /> În business meetings, am întâlnit probleme de conectare cu Windows10, se conectau doar pe stereo, nu și pe headset (ca să meargă microfonul). Pe Windows11 au mers foarte bine ambele moduri.<br /> <br /> O să dau 5 stele pentru build quality, sunet și noice cancelling, până la urmă pentru asta dunt gândite. <br /> <br /> Nu cumpărați dacă aveți de gând să le folosiți în gaming!"
"Casti Over the Ear Sony WH-1000XM5B, Wireless, Bluetooth, Noise cancelling, Autonomie baterie 30 ore, Microfon, Alexa si Google Assistant, Negru",1799.99,Foarte multumit,5,True,Foarte bune
"Casti Over the Ear Sony WH-1000XM5B, Wireless, Bluetooth, Noise cancelling, Autonomie baterie 30 ore, Microfon, Alexa si Google Assistant, Negru",1799.99,Foarte bune căștile dor va rog sa adăugați senzorul de proximitate in ambele cupe deoarece oprirea automata nu funcționează cum trebuie De asemenea va rog faceți sa fie Water Reaistant următoarele modele,4,True,Noise cancelling extraordinar
"Casti Over the Ear Sony WH-1000XM5B, Wireless, Bluetooth, Noise cancelling, Autonomie baterie 30 ore, Microfon, Alexa si Google Assistant, Negru",1799.99,Excelent,5,True,"Recomand, sunetul este excelent, iar funcția de ANC își face treaba fără vreun reproș."
"Casti Over the Ear Sony WH-1000XM5B, Wireless, Bluetooth, Noise cancelling, Autonomie baterie 30 ore, Microfon, Alexa si Google Assistant, Negru",1799.99,Sony WH-1000M5 vs Sony WH-1000XM3,5,True,"O sa incerc sa imi expun parerea mai jos si sa fac o comparatie intre Sony WH1000XM5 si WH1000XM3 (pe care le detin si le-am folosit timp de 3 ani).<br /> Va reamintesc ca avem auzul diferit, fiecare dintre noi avand auzul mai sensibil pe anumite frecvente. De aici si parerile diametral opuse la produsele audio in general. De exemplu am citit pareri despre produse unde unii spuneau: bass-ul este suuuuper puternic, iar altii: lipsa totala de bass. 😊 <br /> Incep prin a va evidentia minusurile castilor Sony WH1000XM5 (unele au mai fost scrise aici)<br /> - Nu se pliaza. Pentru cei care le folosesc in deplasari este un mare minus. Probabil au ales sa fie mai inchegate. Au fost discutii ca dupa un timp XM4 sau XM3 incep sa scartaie sau sa trosneasca. (eu nu am patit asa ceva cu XM3)<br /> - Cand le pui pe gat cupele se intorc doar cu buretele in sus, fiind destul de expuse. Ce ii costa pe fabricanti sa le faca rotative in ambele parti sau macar cu buretele in jos?!<br /> - Un aspect care pe mine m-a deranjat destul de tare este ca raman urme/amprente pe ele oricat de curat ai fi pe maini. Dupa cateva atingeri ai senzatia ca un copil mic s-a jucat cu ele si le-a mazgalit. Aici ma refer la culoarea neagra. Nu stiu daca pe alte culori se observa asa de tare. Avand si comenzile de tip “touch” este clar ca o sa stai cu mana pe ele mai des.<br /> <br /> Dimensiuni. <br /> Mie nu mi s-au parut mari dar cu siguranta sunt mai groase fata de XM3 (posibil asemanatoare cu XM4). Deignul depinde de gusturile fiecaruia, mie mi s-a parut OK.<br /> Pentru mine sunt comode, dar depinde de fiecare ""scafarlie"". Le pot tine 4-5 ore fara probleme.<br /> <br /> Plusuri (comparativ cu XM3) ar fi urmatoarele:<br /> - Bass-ul este prezent, definit si curat. La XM3 mi s-a parut ca este mai puternic deoarece uneori vibrau buretii, dar cred ca puterea era aceeasi. Posibil la hip-hop/rap sa fie mai interesant sa iti vibreze cu tot cu casti 😊. Poate datorita acestui bass echilibrat mediile sunt mai clare. Sunetul este curat si de o calitate foarte buna. Am incercat rock vechi, rap, pop, in toate a fost o auditie placuta. PARCA un pic mai buna fata de XM3 (nici acestea nu sunt slabe calitativ). Sincer nu am sesizat o evolutie extraordinara a calitatii fata de celelalte. O diferenta exista dar nu WOW.<br /> - ANC-ul (active noise canceling) este imbunatatit fata de XM3 dar nu este o diferenta foarte mare. Zgomotele facute de ventilatoare, aer conditionat si alte echipamente care bazaie, sunt acoperite de ambele modele de casti. Diferenta pe care am sesizat-o este ca la XM3 se auzea acel ANC foarte putin ca un fel de fasait de joasa intensitate, cu care unii utilizatori nu s-au obisnuit. La XM5 acel zgomot nu mai exista. Cam asta ar fi diferenta. Clar ANC-ul isi face treaba foarte bine izoleaza chiar si vocile 60%-80%. (tot cam asa si la XM3). Atentie! Unii nu supota ANC-ul, dar se poate regla. (exista o senzatie de presiune in urechi)<br /> Acumulatorul este mult mai bun la XM5. Nu pot sa dau o estimare, deoarece nu le-am descarcat mereu complet. O sa revin dupa cateva teste. <br /> In video-covorbiri pe Skype se aud OK pe laptop. La telefon au fost persoane care mi-au spus ca se aude OK, altele ca ma aud infundat si in departare. Zgomotele de fond nu sunt acoperite asa cum se lauda Sony, astfel ca sunt auzite de catre interlocutori.<br /> <br /> Nu scapa prea mult sunetul in exterior, astfel ca nu ii deranjezi pe cei din jur cu ce asculti. Cam pana pe la 50% nu sesizeaza nimeni. Apoi foarte putin.<br /> Lag-ul in Youtube si filme nu prea exista. Am observant ceva dar nu stiu daca era din cauza castilor) Nu stiu in jocuri deoarece nu le-am incercat.<br /> <br /> Se pot conecta la 2 device-uri si comuta destul de usor intre ele. Ba mai mult poti sa asculti de pe ambele in acelasi timp. Exista posibilitatea sa activezi Adaptive Sound Control si sa isi reglaze ANC-ul in functie de mediul in care te afli. Astfel sa nu mai fie nevoie sa il treci pe “ambient” sau ANC cand esti pe strada, in autobuz, etc. Personal nu folosesc.. Dar na. Exista si multe alte optiuni dar va las sa le descoperiti pe site-urile de specialitate<br /> <br /> O concluzie de final, deoarece m-am intins cam mut. <br /> Sunt pentru audiofili? Nu stiu, pt ca nu ma consider unul iar aici e de discutat. Se pare ca nu toti avem capacitatea sa auzim chiar atat de fin incat sa ne credem audiofili. Poate este si o chestie care se educa in timp si tine si de situatia financiara a fiecaruia. 😊<br /> Sunt pt cei care apreciaza calitatea audio dar si functiile in plus fata de niste casti clasice? DA<br /> Pretul de 1700 lei este potrivit? NU<br /> Merita sa le cumperi in detrimentul celor MX3 Sau MX4? La pretul acesta NU.<br /> Le-as returna? NU 😊<br /> Daca aveti intrebari si le si “vad”, va raspund cu placere."
